fitness_score,population,generations,training_time,i_run,n_nodes
0.009240628761555882,100,3,7.441158056259155,0,5
0.007425719770070902,1000,3,515.0374414920807,0,6
0.016666568825862076,125,3,13.44140076637268,0,10
0.006519294740065709,150,3,20.876657724380493,0,5
0.005171655505931832,175,3,24.395925998687744,0,6
0.030386125194335582,20,3,0.6717689037322998,0,12
0.016632692887759384,200,3,29.52405047416687,0,14
0.011877105415416336,2000,3,1650.7836582660675,0,7
0.001096660989591007,250,3,43.683188676834106,0,6
0.016666568825862076,30,3,0.8894808292388916,0,10
0.008688485429547067,300,3,62.86689352989197,0,6
0.008678962695366603,3000,3,3483.4305381774902,0,14
0.014196242227347776,350,3,83.86674666404724,0,9
0.016666568825862076,40,3,1.5179417133331299,0,10
0.013586853430349708,400,3,111.80118942260742,0,11
0.008075665901501945,4000,3,5840.539437055588,0,10
0.016666568825862076,450,3,132.30321955680847,0,10
0.016666568825862076,50,3,2.1338157653808594,0,10
0.016666568825862076,500,3,160.65621137619019,0,10
0.011079876566991888,5000,3,8843.085745811462,0,6
0.016666568825862076,550,3,187.86310601234436,0,10
0.016666568825862076,60,3,3.205040454864502,0,10
0.013924540423134214,600,3,222.50202703475952,0,9
0.008228005685733536,6000,3,12994.792004346848,0,8
0.015266734716557874,650,3,245.8306429386139,0,8
0.016666568825862076,70,3,3.737586736679077,0,10
0.00895318449371883,700,3,289.04309487342834,0,6
0.00600380933097588,7000,3,15595.735325574875,0,7
0.0099073841932326,750,3,322.573433637619,0,6
0.016666568825862076,80,3,5.290585994720459,0,10
0.008121141249201779,800,3,358.2924311161041,0,6
0.012237869223066286,850,3,383.58927750587463,0,10
0.016666568825862076,90,3,6.349744558334351,0,10
0.011527121964868891,900,3,432.45161604881287,0,13
0.01193334187034158,950,3,474.70862078666687,0,10
