max_generations, fitness_score, training_time
1, 0.001181982987889403, 578.8134522438049
2, 0.0012016240434427246, 576.8219292163849
3, 0.009134094036377997, 557.3586204051971
4, 0.016340521817448266, 597.6252648830414
5, 0.016340521817448266, 617.6650066375732
6, 0.008534047858517316, 632.2958903312683
7, 0.020530876905429162, 577.3144819736481
8, 0.014528428746597332, 558.3196198940277
9, 0.001096660989591007, 551.0411853790283
10, 0.006976833075914341, 548.3239188194275
11, 0.016181114112280754, 579.1708238124847
12, 0.0006276685397475655, 568.0893292427063
13, 0.006976833075914341, 575.2620747089386
14, 0.013394120581391441, 604.9179997444153
15, 0.015761782450178764, 588.486321926117
16, 0.016340521817448266, 577.1836175918579
17, 0.0019430116589686222, 592.975175857544
18, 0.001096660989591007, 603.5012953281403
19, 0.016340521817448266, 601.0813581943512
20, 0.0015050323110024858, 588.5494084358215
21, 0.014597164863264074, 609.9067115783691
22, 0.006808828657986434, 610.3560025691986
23, 0.011147464942272273, 616.0757584571838
24, 0.006976833075914341, 618.5018472671509
25, 0.015485521283357364, 625.5533154010773
26, 0.001096660989591007, 624.9387080669403
27, 0.0019386808068960564, 619.012939453125
28, 0.016181114112280754, 646.1512904167175
29, 0.006976833075914341, 645.8043482303619
30, 0.015057138234191804, 645.8257315158844
31, 0.006976833075914341, 659.081042766571
32, 0.0011739918293282596, 652.1967115402222
33, 0.003108683947460253, 647.7016396522522
34, 0.0006276685397475655, 648.2244610786438
35, 0.0019430116589686222, 674.656480550766
36, 0.0019430116589686222, 697.0828311443329
37, 0.0065912736471261954, 687.6221477985382
38, 0.015435651893803396, 672.0082190036774
39, 0.001096660989591007, 676.0008833408356
40, 0.007972474274303726, 671.123391866684
41, 0.009907384193232598, 704.7150588035583
42, 0.001096660989591007, 697.4326303005219
43, 0.0006276685397475655, 695.2288656234741
44, 0.011941071230982746, 711.9528381824493
45, 0.001096660989591007, 721.4099640846252
46, 0.009907384193232598, 718.7989032268524
47, 0.006976833075914341, 729.8668501377106
48, 0.00895318449371883, 706.7398996353149
49, 0.0138684009212249, 718.9571495056152
50, 0.008270897987065599, 739.7904913425446
